feed_rate,grinder_type,duty_cycle,unit_cost,score
349.3303,1.0,1.0,140.00287,-7.020598e-05
168.91443,0.0,1.0,142.26404,-3.4724133e-05
124.60118,2.0,0.9759556,143.0838,-2.061727e-05
59.596523,0.0,1.0,144.24864,-3.452369e-05
410.18298,0.0,1.0,97.31539,0.005335705
336.01883,0.0,1.0,139.41312,0.000100025405
248.49217,2.0,0.19062868,59.359165,0.016427958
66.57983,0.0,1.0,144.94836,-3.408107e-05
175.60269,2.0,0.4516648,59.796913,0.016307697
330.29684,1.0,1.0,141.56104,-6.949164e-05
345.19653,2.0,0.34918773,57.7135,0.016965006
456.70575,1.0,1.0,136.8309,0.00018454365
155.56711,0.0,1.0,140.98795,-3.5322137e-05
469.36746,0.0,1.0,66.02823,0.013556572
146.14352,0.0,1.0,141.11852,-3.5289457e-05
