feed_rate,grinder_type,duty_cycle,unit_cost,protein_damage,score
98.83987,0.0,1.0,59.654495,0.0,0.016763195
296.218,1.0,1.0,77.63353,0.12,0.012881032
372.7412,2.0,0.36318874,66.38956,0.0,0.01506261
349.07324,1.0,1.0,77.41793,0.12,0.012916904
436.11014,1.0,1.0,79.23737,0.12,0.0126203075
318.9352,1.0,1.0,77.53211,0.12,0.012897882
211.99365,1.0,1.0,80.207664,0.12,0.012467636
66.689575,0.0,1.0,61.201714,0.0,0.016339412
400.83688,0.0,1.0,58.987858,0.0,0.016952641
112.20999,1.0,1.0,79.96848,0.12,0.012504927
343.59772,1.0,1.0,77.437195,0.12,0.012913691
68.871994,1.0,1.0,82.333755,0.12,0.012145687
287.09808,1.0,1.0,77.678764,0.12,0.012873531
477.3135,1.0,1.0,77.0933,0.12,0.012971296
118.43515,0.0,1.0,60.762165,0.0,0.01645761
228.37462,1.0,1.0,78.056526,0.12,0.012811228
456.90164,0.0,1.0,58.89655,0.0,0.016978923
381.5393,2.0,0.056845598,69.2518,0.0,0.014440058
278.87207,1.0,1.0,79.754875,0.12,0.012538419
75.53034,1.0,1.0,83.61901,0.12,0.011959002
410.9794,2.0,0.1879312,68.03808,0.0,0.014697651
249.87956,0.0,1.0,57.71457,0.0,0.017326647
432.29086,0.0,1.0,58.933712,0.0,0.016968217
182.82275,1.0,1.0,78.516685,0.12,0.012736146
73.231865,2.0,0.26456055,70.43695,0.0,0.014197094
256.61517,1.0,1.0,77.85328,0.12,0.012844673
108.69896,0.0,1.0,59.3634,0.0,0.016845396
282.90753,0.0,1.0,59.29804,0.0,0.016863964
67.037895,1.0,1.0,82.50129,0.12,0.012121023
464.65512,1.0,1.0,79.18098,0.12,0.012629296
162.05551,0.0,1.0,58.40254,0.0,0.017122542
273.75894,2.0,0.059886854,66.27525,0.0,0.015088589
346.09082,1.0,1.0,79.4761,0.12,0.012582399
444.6966,1.0,1.0,79.21964,0.12,0.012623132
161.49023,1.0,1.0,80.79816,0.12,0.01237652
313.8154,0.0,1.0,57.45593,0.0,0.017404644
145.97424,0.0,1.0,60.287052,0.0,0.01658731
181.95479,0.0,1.0,59.88299,0.0,0.016699232
438.2377,0.0,1.0,57.168945,0.0,0.017492015
268.1353,2.0,0.46424958,80.52147,0.0,0.012419048
393.93814,1.0,1.0,79.335625,0.12,0.012604678
406.4073,2.0,0.16724136,71.0512,0.0,0.014074358
51.90072,2.0,0.35765892,75.51442,0.0,0.013242505
67.58711,1.0,1.0,82.45017,0.12,0.0121285375
